Date,#,RED,,,BLUE,,
Thu 8:30,1,5655,5122,5406,3481,5625,5659
Thu 8:37,2,3728,3946,1629,1519,4818,203
Thu 8:44,3,225,467,93,5053,4587,2905
Thu 8:51,4,1510,236,1511,246,1501,3339
Thu 8:58,5,2471,418,4499,973,85,2534
Thu 9:05,6,4953,20,4215,3547,3506,3880
Thu 9:12,7,1325,3256,399,2283,1058,1711
Thu 9:19,8,173,1306,5059,2521,4980,16
Thu 9:26,9,375,2075,5696,4028,3478,1885
Thu 9:33,10,67,60,5338,3604,254,5254
Thu 9:40,11,2377,1710,1241,4574,5719,558
Thu 9:47,12,4488,1730,5510,5549,1458,999
Thu 9:54,13,1296,5416,3506,2085,2601,3946
Thu 10:01,14,2521,2905,2471,5625,3728,418
Thu 10:08,15,1629,973,3256,3478,1306,4215
Thu 10:15,16,20,3481,4818,5254,236,375
Thu 10:22,17,4574,1519,3547,5655,16,5059
Thu 10:29,18,3604,3880,246,467,558,5510
Thu 10:36,19,1730,173,1241,4587,5659,254
Thu 10:43,20,2283,4953,67,2377,999,4028
Thu 10:50,21,5122,85,4488,1058,1885,1510
Thu 10:57,22,1501,5406,2085,4980,1710,1325
Thu 11:04,23,1711,225,1296,5696,3339,5338
Thu 11:11,24,93,399,2534,60,203,2601
Thu 11:18,25,1458,2075,1511,4499,5719,5053
Thu 11:25,26,5549,254,4574,5416,2905,1629
Thu 1:30,27,4953,418,5655,4818,4215,3256
Thu 1:37,28,1519,1710,4587,3604,4488,2521
Thu 1:44,29,225,3946,1510,375,67,1306
Thu 1:51,30,1885,93,1325,2534,5059,3880
Thu 1:58,31,3478,203,1296,5659,246,5254
Thu 2:05,32,1458,467,5122,5549,5406,3506
Thu 2:12,33,2283,1511,2085,2471,5696,173
Thu 2:19,34,4499,973,3339,2377,5510,399
Thu 2:26,35,2075,558,3728,1501,1058,999
Thu 2:33,36,4980,4028,60,1711,5719,236
Thu 2:40,37,3481,5416,1241,5053,85,3547
Thu 2:47,38,5338,1730,5625,2601,20,16
Thu 2:54,39,203,4574,1885,2283,467,2521
Thu 3:01,40,5406,4215,4499,5059,2905,1296
Thu 3:08,41,3256,2377,5254,1511,3728,5122
Thu 3:15,42,418,4028,3946,173,1710,5510
Thu 3:22,43,1519,1306,2534,399,236,558
Thu 3:29,44,1730,4818,246,85,60,3506
Thu 3:36,45,1629,999,5655,225,1325,20
Thu 3:43,46,3339,5625,1058,5659,3547,5416
Thu 3:50,47,16,5549,5719,93,2471,67
Thu 3:57,48,3604,5053,2601,1501,375,3478
Thu 4:04,49,5696,1241,1458,4980,3880,1510
Thu 4:11,50,2085,1711,254,3481,2075,4488
Thu 4:18,51,4587,973,558,5338,4953,5122
Thu 4:25,52,5510,3547,999,1296,4818,2534
Thu 4:32,53,85,20,2521,3946,1511,399
Thu 4:39,54,5659,2601,4499,3256,4574,4028
Thu 4:46,55,2905,3506,1710,67,5696,16
Fri 8:00,56,1306,467,5254,1501,5655,1730
Fri 8:07,57,2283,4980,5059,973,2075,3604
Fri 8:14,58,173,93,236,1458,1629,4953
Fri 8:21,59,5416,1058,203,225,4215,1241
Fri 8:28,60,3478,5338,2471,3481,1325,1519
Fri 8:35,61,3728,3880,3339,375,4488,254
Fri 8:42,62,60,1885,5549,5625,5053,2085
Fri 8:49,63,5406,246,4587,418,1711,2377
Fri 8:56,64,1510,5655,3604,5719,173,2905
Fri 9:03,65,4028,3547,2283,3506,1458,225
Fri 9:10,66,5338,4818,1306,5659,2075,93
Fri 9:17,67,20,467,2534,3256,1710,3339
Fri 9:24,68,3880,5625,67,4499,1730,203
Fri 9:31,69,1325,4587,3728,5696,85,2601
Fri 9:38,70,1501,4488,4980,3478,4953,4574
Fri 9:45,71,399,5254,5549,4215,3946,246
Fri 9:52,72,418,558,3481,1296,1511,1885
Fri 9:59,73,5510,5053,1629,1711,2521,1510
Fri 10:06,74,5059,999,60,2471,1241,5122
Fri 10:13,75,5719,375,1519,5406,5416,973
Fri 10:20,76,2377,16,2085,254,236,1058
Fri 10:27,77,4499,1501,3946,2283,93,5338
Fri 10:34,78,399,5659,5696,418,4488,467
Fri 10:41,79,1710,4953,1711,85,5549,1306
Fri 10:48,80,1511,4028,4215,1325,1730,3604
Fri 10:55,81,203,4587,5059,5719,3339,1458
Fri 11:02,82,5625,1519,3256,1510,254,999
Fri 11:09,83,225,3481,173,60,3728,973
Fri 11:16,84,3547,2905,1885,2601,2377,1629
Fri 11:23,85,236,3478,5416,558,5655,3506
Fri 11:30,86,5510,20,2075,1241,5406,67
Fri 11:37,87,2471,4818,4980,5053,1058,1296
Fri 11:44,88,375,246,2534,2085,4574,5122
Fri 11:51,89,2521,3880,418,5254,16,999
Fri 11:58,90,5659,1711,1501,1519,225,1885
Fri 2:00,91,1710,4028,1510,3728,5059,399
Fri 2:07,92,203,85,236,5549,3256,5338
Fri 2:14,93,5696,3604,2377,20,5416,2471
Fri 2:21,94,973,4574,1241,1511,5625,93
Fri 2:28,95,5719,4953,2521,1296,1730,2085
Fri 2:35,96,558,16,5122,1629,2075,4818
Fri 2:42,97,67,2601,467,3481,4980,4215
Fri 2:49,98,60,375,2283,5510,4587,5655
Fri 2:56,99,5254,4488,3339,173,3506,5053
Fri 3:03,100,3946,1458,1058,2534,2905,3478
Fri 3:10,101,3547,254,1325,1306,246,4499
Fri 3:17,102,3880,1730,225,5406,4574,236
Fri 3:24,103,5696,1629,5719,3256,3481,1501
Fri 3:31,104,4215,418,1519,60,2075,2377
Fri 3:38,105,3506,5510,5122,93,4980,203
Fri 3:45,106,2905,2601,5549,3339,1241,2283
Fri 3:52,107,5659,1325,5053,558,254,3946
Fri 3:59,108,4488,5059,1058,246,20,1511
Fri 4:06,109,85,1296,173,5625,375,467
Fri 4:13,110,4818,5655,2085,399,1458,67
Fri 4:20,111,1710,5254,3478,999,1885,4499
Fri 4:27,112,3604,16,1711,3728,2534,4953
Fri 4:34,113,5416,1306,4587,2471,3880,4028
Fri 4:41,114,5406,2521,3547,1510,5338,973
Fri 4:48,115,5059,3481,2377,203,5549,1501
Fri 4:55,116,558,5625,2601,4488,225,5719
Fri 5:02,117,1058,1730,3506,375,1629,418
Fri 5:09,118,5659,236,4215,5510,3728,2283
Fri 5:16,119,20,1296,1458,1306,4574,60
Fri 5:23,120,2521,1325,5416,4953,4818,467
Fri 5:30,121,2075,1510,5254,2534,4587,2471
Fri 5:37,122,246,5053,973,1710,3880,5655
Fri 5:44,123,173,67,1711,3547,5122,3478
Fri 5:51,124,3604,3256,1885,3946,1241,16
Fri 5:58,125,2905,399,999,5338,4980,1511
Fri 6:05,126,93,3339,4028,1519,85,2085
Fri 6:12,127,4499,254,4953,5406,5696,4818
